Compound_Name,Plant_Name,Common_Name,Plant_Family,Plant_Part,Country_of_Use,PubChem_CID,Canonical_SMILES,Molecular_Formula,Reported_Activity,Assay_Target,DOI_Reference,Reference_Year,Compound_ID,Compound_Class,Data_Source,Notes,MW,LogP,HBD,HBA,TPSA,Rotatable_Bonds,Heavy_Atom_Count,Aromatic_Rings,Fraction_CSP3,QED_Score,Lipinski_Violations,Lipinski_Compliant,Veber_Compliant,Ghose_Compliant,PC1,PC2
Vindoline,Catharanthus roseus (L.) G.Don,Madagascar Periwinkle,Apocynaceae,Fresh leaf juice,"Nigeria, UK",260535,CCC12C=CCN3C1C4(CC3)C(C(C2OC(=O)C)(C(=O)OC)O)N(C5=C4C=CC(=C5)OC)C,C25H32N2O6,"Hypoglycemic, antidiabetic","Hepatic glycogen synthase, G6PDH",10.4172/2155-6156.1000546,2015,AFRO11_042,Terpenoid Indole Alkaloid,Journal of Diabetes & Metabolism,Suppresses gluconeogenic enzymes.,456.54,1.64,1.0,8.0,88.54,4.0,33.0,1.0,0.6,0.541,0.0,True,True,True,-0.0006111537164095237,0.22569163804311818
Cinnamaldehyde,Cinnamomum cassia,Chinese cinnamon,Lauraceae,Bark,Nigeria,637511,C1=CC=C(C=C1)C=CC=O,C9H8O,"Insulin mimetic, antidiabetic","3T3-L1 Adipocytes, insulin pathways",10.4172/2155-6156.1000546,2015,AFRO11_043,Phenylpropanoid,Journal of Diabetes & Metabolism,Enhances insulin action and increases glucose uptake.,132.16,1.9,0.0,1.0,17.07,2.0,10.0,1.0,0.0,0.443,0.0,True,True,False,-2.1652785848451592,-0.5652391089695332
Beta-sitosterol,Coccinia indica,Ivy gourd,Cucurbitaceae,Leaves,Nigeria,222284,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,Hypoglycemic,"Glucose-6-phosphatase, glycogen synthase",10.4172/2155-6156.1000546,2015,AFRO11_044,Phytosterol,Journal of Diabetes & Metabolism,Suppresses key gluconeogenic enzymes.,414.72,8.02,1.0,1.0,20.23,6.0,30.0,0.0,0.931,0.436,1.0,True,True,False,-1.8861181797666173,2.034981498230716
Leucopelargonidin derivative,Ficus bengalensis Linn.,Indian Banyan tree,Moraceae,"Bark, leaves",Nigeria,282014,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC=C(C=C3)O)O,C15H14O5,"Hypoglycemic, insulin secretagogue","Pancreatic β-cells, insulinase",10.4172/2155-6156.1000546,2015,AFRO11_045,"Flavonoid / Flavan-3,4-diol",Journal of Diabetes & Metabolism,Stimulates insulin secretion and inhibits insulinase activity.,274.27,1.84,4.0,5.0,90.15,1.0,20.0,2.0,0.2,0.637,0.0,True,True,True,-0.4015854917271885,-0.6263301921529543
Gymnemic acid,Gymnema sylvestre,Gurmar,Asclepiadaceae,Leaves,Nigeria,None,,,"Antidiabetic, insulin secretagogue","Pancreatic Islets, gluconeogenic enzymes",10.4172/2155-6156.1000546,2015,AFRO11_046,Triterpene Saponin Glycoside,Journal of Diabetes & Metabolism,Induces β-cell regeneration and enhances endogenous insulin biosynthesis.,,,,,,,,,,,,,,,,
Charantin,Momordica charantia / M. cymbalaria,Bitter Melon,Cucurbitaceae,"Fruit pulp, seeds",Nigeria,296119,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)C,C35H60O6,"Hypoglycemic, antidiabetic","Pancreatic β-cells, gluconeogenic enzymes",10.4172/2155-6156.1000546,2015,AFRO11_047,Steroidal Saponin Glycoside,Journal of Diabetes & Metabolism,Exerts extra-pancreatic glycemic control and stimulates insulin secretion.,576.86,5.85,4.0,6.0,99.38,9.0,41.0,0.0,0.943,0.257,2.0,False,True,False,0.2869910886203952,2.231323262855425
Senegin-II,Polygala senega L.,Seneca snakeroot,Polygalaceae,Rhizomes,Nigeria,11953920,CC1C(C(C(C(O1)OC2C(C(C(OC2OC(=O)C34CCC(CC3C5=CCC6C(C5(CC4)CO)(CCC7C6(CC(C(C7(C)C(=O)O)OC8C(C(C(C(O8)CO)O)O)O)O)C)C)(C)C)C)OC(=O)C=CC9=CC(=C(C=C9)OC)OC)O)O)O)OC1C(C(C(CO1)OC1C(C(C(C(O1)CO)O)O)O)O)O,C70H104O32,"Antidiabetic, insulin sensitizer",Liver glucose output pathways,10.4172/2155-6156.1000546,2015,AFRO11_048,Triterpenoid Saponin Glycoside,Journal of Diabetes & Metabolism,Decreases hepatic glucose output without altering plasma insulin concentration.,1457.57,-2.23,16.0,31.0,494.88,19.0,102.0,1.0,0.814,0.03,3.0,False,False,False,10.379539298120097,3.1621227028862204
Epicatechin,Pterocarpus marsupium,Indian Kino,Fabaceae,Bark,Nigeria,72276,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,"Antidiabetic, β-cell regenerator",Functional pancreatic β-cells,10.4172/2155-6156.1000546,2015,AFRO11_049,Flavan-3-ol / Tannin,Journal of Diabetes & Metabolism,Prevents β-cell damage and regenerates functional pancreatic islets.,290.27,1.55,5.0,6.0,110.38,1.0,21.0,2.0,0.2,0.51,0.0,True,True,True,0.04268653051138944,-0.6995940312735793
Pterostilbene,Pterocarpus marsupium,Indian Kino,Fabaceae,Bark,Nigeria,5281727,COC1=CC(=CC(=C1)C=CC2=CC=C(C=C2)O)OC,C16H16O3,"Antidiabetic, antioxidant",Pancreatic β-cells,10.4172/2155-6156.1000546,2015,AFRO11_050,Stilbenoid / Flavonoid,Journal of Diabetes & Metabolism,Enhances insulin secretion.,256.3,3.58,1.0,3.0,38.69,4.0,19.0,2.0,0.125,0.85,0.0,True,True,False,-1.514858362881524,0.3514535570863946
Mycaminose,Syzygium cumini,Java Plum,Myrtaceae,"Seeds, leaves, fruit pulp",Nigeria,160504,CC(C(C(C(C=O)O)N(C)C)O)O,C8H17NO4,"Hypoglycemic, peripheral glucose utilization activator",Peripheral glucose utilization kinases,10.4172/2155-6156.1000546,2015,AFRO11_051,Amino Sugar Glycoside,Journal of Diabetes & Metabolism,Stimulates kinases involved in peripheral glucose utilization.,191.23,-1.78,3.0,5.0,81.0,5.0,13.0,0.0,0.875,0.448,0.0,True,True,False,-0.2582601642213772,-0.890889165577593
Trigonelline,Trigonella foenum-graecum L.,Fenugreek,Fabaceae,Seeds,Nigeria,5570,C[N+]1=CC=CC(=C1)C(=O)[O-],C7H7NO2,"Antidiabetic, insulin secretagogue","Pancreatic β-cells, intestinal disaccharidases",10.4172/2155-6156.1000546,2015,AFRO11_052,Pyridine Alkaloid,Journal of Diabetes & Metabolism,Delays carbohydrate digestion/absorption and increases glucose-induced insulin secretion.,137.14,-1.13,0.0,2.0,44.01,1.0,10.0,1.0,0.143,0.46,0.0,True,True,False,-1.5676966879820429,-1.4385408500282575
4-Hydroxyisoleucine,Trigonella foenum-graecum L.,Fenugreek,Fabaceae,Seeds,Nigeria,2773624,CC(C(C)O)C(C(=O)O)N,C6H13NO3,Insulin secretagogue,Pancreatic β-cells,10.4172/2155-6156.1000546,2015,AFRO11_053,Non-protein Amino Acid,Journal of Diabetes & Metabolism,Stimulates glucose-dependent insulin secretion.,147.17,-0.58,3.0,3.0,83.55,3.0,10.0,0.0,0.833,0.498,0.0,True,True,False,-0.7549424965357718,-1.0350090521496311
2-Hydroxygenistein,Cajanus cajan,Pigeon pea,Fabaceae,"Leaf, root, seed","Nigeria, India, Ghana, Kenya",5280863,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C15H10O6,Regulation of glucose metabolism,AKR1B1 (-9.1 kcal/mol),10.3390/molecules24102002,2019,AFRO11_054,Isoflavone,Molecules (MDPI),Predicted active compound with favorable ADMET properties. PDF,286.24,2.28,4.0,6.0,111.13,1.0,21.0,3.0,0.0,0.546,0.0,True,True,True,-0.20242632701026886,-0.5259591078876286
Apigenin,Cajanus cajan,Pigeon pea,Fabaceae,"Leaf, root, seed","Nigeria, India, Ghana, Kenya",5280443,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,C15H10O5,"Regulation of insulin secretion, glucose metabolism, and lipid metabolism","AKR1B1 (-9.1), HSD11B1 (-9.0), RBP4 (-9.9), RXRA (-9.1 kcal/mol)",10.3390/molecules24102002,2019,AFRO11_055,Flavonoid,Molecules (MDPI),Multi-target anti-diabetic compound with favorable ADMET properties. PDF,270.24,2.58,3.0,5.0,90.9,1.0,20.0,3.0,0.0,0.632,0.0,True,True,True,-0.6478874210624215,-0.45043696205708234
Autumnarinol,Eucomis autumnalis,Pineapple lily,Asparagaceae,"Bulb, root","South Africa, Lesotho, Eswatini",None,,,Regulation of insulin secretion,RBP4 (-9.0 kcal/mol),10.3390/molecules24102002,2019,AFRO11_056,Homoisoflavonoid,Molecules (MDPI),Predicted active compound with favorable ADMET properties. PDF,,,,,,,,,,,,,,,,
Catechin,"Adansonia digitata, Combretum micranthum, Prunus africana, Sclerocarya birrea, Pelargonium sidoides, Typha capensis","Baobab, Kinkeliba, African cherry, Marula, African geranium, Bulrush","Malvaceae, Combretaceae, Rosaceae, Anacardiaceae, Geraniaceae, Typhaceae","Bark, leaf, root, fruit","Senegal, Mali, Burkina Faso, Nigeria, South Africa, Kenya",9064,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,Regulation of insulin secretion and glucose metabolism,"AKR1B1 (-9.0), HSD11B1 (-9.5), RBP4 (-9.3 kcal/mol)",10.3390/molecules24102002,2019,AFRO11_057,Flavan-3-ol,Molecules (MDPI),Multi-target compound sourced across multiple African medicinal plants. PDF,290.27,1.55,5.0,6.0,110.38,1.0,21.0,2.0,0.2,0.51,0.0,True,True,True,0.04268653051138944,-0.6995940312735793
Crotofoline A,Croton gratissimus,Lavender croton,Euphorbiaceae,"Stem bark, leaf","South Africa, Namibia, Botswana, Zimbabwe, Nigeria",N/A,N/A,N/A,"Regulation of insulin secretion, glucose metabolism, and lipid metabolism","AMY2A (-9.2), HSD11B1 (-9.9), PPARD (-9.3 kcal/mol)",10.3390/molecules24102002,2019,AFRO11_058,Diterpenoid,Molecules (MDPI),Novel potential multi-targeted anti-diabetic lead candidate. PDF,,,,,,,,,,,,,,,,
Cyanidin,Rhoicissus tridentata,Bushman's grape,Vitaceae,"Root, tuber, fruit","South Africa, Zimbabwe, Mozambique",128861,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O)O,C15H11O6+,Regulation of insulin secretion and glucose metabolism,"AKR1B1 (-9.1), HSD11B1 (-9.5), RBP4 (-9.2 kcal/mol)",10.3390/molecules24102002,2019,AFRO11_059,Anthocyanidin,Molecules (MDPI),Multi-target compound with favorable ADMET profile. PDF,287.25,2.91,5.0,5.0,112.45,1.0,21.0,3.0,0.0,0.347,0.0,True,True,True,-0.21178198652710298,-0.3911110500370888
Desacetylformonoakuammiline,Rauvolfia vomitoria,"Poison peacock, Serpentwood",Apocynaceae,"Root bark, leaf","Nigeria, Ghana, Cameroon, DR Congo",N/A,N/A,N/A,Regulation of insulin secretion and lipid metabolism,"HSD11B1 (-9.1), PPARD (-9.0 kcal/mol)",10.3390/molecules24102002,2019,AFRO11_060,Indole Alkaloid,Molecules (MDPI),Predicted active compound with favorable ADMET properties. PDF,,,,,,,,,,,,,,,,
Eburnamonine,Vinca minor,Lesser periwinkle,Apocynaceae,"Leaf, aerial parts","South Africa, Algeria, Morocco",92112,CCC12CCCN3C1C4=C(CC3)C5=CC=CC=C5N4C(=O)C2,C19H22N2O,"Regulation of insulin secretion, glucose metabolism, and lipid metabolism","AKR1B1 (-9.4), HSD11B1 (-9.2), PPARD (-9.3), RBP4 (-9.4 kcal/mol)",10.3390/molecules24102002,2019,AFRO11_061,Indole Alkaloid,Molecules (MDPI),Multi-target compound with experimental anti-diabetic evidence. PDF,294.4,3.77,0.0,2.0,25.24,1.0,22.0,2.0,0.526,0.8,0.0,True,True,True,-1.8673682542044263,-0.01555214159758027
Ent-16-kauran-19-oic acid,Aster bakeranus,Baker's aster,Asteraceae,"Root, leaf","South Africa, Lesotho",N/A,N/A,N/A,Regulation of insulin secretion and lipid metabolism,"HSD11B1 (-9.4), PPARD (-9.4 kcal/mol)",10.3390/molecules24102002,2019,AFRO11_062,Diterpenoid,Molecules (MDPI),Dual-target compound with favorable ADMET properties. PDF,,,,,,,,,,,,,,,,
Epicatechin,"Acacia karroo, Harungana madagascariensis, Prunus africana","Sweet thorn, Dragon's blood tree, African cherry","Fabaceae, Hypericaceae, Rosaceae","Bark, leaf, root","South Africa, Madagascar, Cameroon, Kenya",72276,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,Regulation of insulin secretion and glucose metabolism,"AKR1B1 (-9.2), RBP4 (-9.3 kcal/mol)",10.3390/molecules24102002,2019,AFRO11_063,Flavan-3-ol,Molecules (MDPI),Shows structural similarity to SGLT2 inhibitor gliflozins. PDF,290.27,1.55,5.0,6.0,110.38,1.0,21.0,2.0,0.2,0.51,0.0,True,True,True,0.04268653051138944,-0.6995940312735793
Ergine,Ipomoea purpurea,Common morning glory,Convolvulaceae,"Seed, leaf","South Africa, Kenya, Ethiopia, Nigeria",442072,CN1CC(C=C2C1CC3=CNC4=CC=CC2=C34)C(=O)N,C16H17N3O,Regulation of insulin secretion,"HSD11B1 (-9.5), RBP4 (-9.4 kcal/mol)",10.3390/molecules24102002,2019,AFRO11_064,Ergot Alkaloid,Molecules (MDPI),Dual-target compound with favorable ADMET properties. PDF,267.33,1.52,2.0,2.0,62.12,1.0,20.0,2.0,0.312,0.823,0.0,True,True,True,-1.144259970305975,-0.6340946345191943
Eriodictyol,Cyclopia intermedia,Honeybush,Fabaceae,"Leaf, stem",South Africa,440735,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O,C15H12O6,Regulation of insulin secretion,"HSD11B1 (-9.2), RBP4 (-9.5 kcal/mol)",10.3390/molecules24102002,2019,AFRO11_065,Flavanone,Molecules (MDPI),Predicted active compound with favorable ADMET properties. PDF,288.25,2.22,4.0,6.0,107.22,1.0,21.0,2.0,0.133,0.599,0.0,True,True,True,-0.21337755043305937,-0.5330833336553639
Erythraline,"Erythrina caffra, Erythrina lysistemon","Coast coral tree, Common coral tree",Fabaceae,"Seed, bark, leaf","South Africa, Eswatini, Mozambique",5317205,COC1CC23C(=CCN2CCC4=CC5=C(C=C34)OCO5)C=C1,C18H19NO3,Regulation of insulin secretion and glucose metabolism,"AKR1B1 (-9.0), GCK (-9.8), RBP4 (-9.0 kcal/mol)",10.3390/molecules24102002,2019,AFRO11_066,Erythrina Alkaloid,Molecules (MDPI),Novel potential multi-targeted anti-diabetic lead candidate. PDF,297.35,2.38,0.0,4.0,30.93,1.0,22.0,1.0,0.444,0.796,0.0,True,True,True,-1.4661908538218111,-0.3445195313690488
"Furanoeudesma-1,3-diene",Commiphora myrrha,Myrrh tree,Burseraceae,"Resin, bark","Somalia, Ethiopia, Kenya",13874240,CC1=CC=CC2(C1CC3=C(C2)OC=C3C)C,C15H18O,Regulation of insulin secretion,RBP4 (-9.0 kcal/mol),10.3390/molecules24102002,2019,AFRO11_067,Sesquiterpenoid,Molecules (MDPI),Predicted active compound with favorable ADMET properties. PDF,214.31,3.83,0.0,1.0,13.14,0.0,16.0,1.0,0.467,0.639,0.0,True,True,False,-2.276041758622398,-0.3132066909468942
Hautriwaic acid,Dodonaea angustifolia,Sand olive,Sapindaceae,"Leaf, stem bark","South Africa, Kenya, Ethiopia, Tanzania",12310372,CC1CCC2(C(C1(C)CCC3=COC=C3)CCC=C2C(=O)O)CO,C20H28O4,Regulation of glucose metabolism,AKR1B1 (-9.3 kcal/mol),10.3390/molecules24102002,2019,AFRO11_068,Diterpenoid,Molecules (MDPI),Predicted active compound with favorable ADMET properties. PDF,332.44,4.05,2.0,3.0,70.67,5.0,24.0,1.0,0.65,0.853,0.0,True,True,True,-1.006324284286676,0.739734640763203
Henningsiine,Strychnos henningsii,Red bitterberry,Loganiaceae,"Bark, root, leaf","South Africa, Kenya, Uganda, Tanzania",N/A,N/A,N/A,"Regulation of insulin secretion, glucose metabolism, and lipid metabolism","AMY2A (-9.1), HSD11B1 (-9.6), PPARD (-10.0), PPARG (-9.0 kcal/mol)",10.3390/molecules24102002,2019,AFRO11_069,Indole Alkaloid,Molecules (MDPI),Novel multi-targeted hit with 4 predicted anti-diabetic targets. PDF,,,,,,,,,,,,,,,,
Ibozol,Tetradenia riparia,"Misty plume bush, Ginger bush",Lamiaceae,"Leaf, shoot","South Africa, Mozambique, Zimbabwe, Rwanda",5458584,CC(C)C1(CCC2=C(C1)C(CC3C2(CCCC3(C)C)C)O)O,C20H34O2,Regulation of glucose metabolism,GCK (-9.7 kcal/mol),10.3390/molecules24102002,2019,AFRO11_070,Diterpenoid,Molecules (MDPI),Glucokinase-targeted hit with favorable ADMET properties. PDF,306.49,4.45,2.0,2.0,40.46,1.0,22.0,0.0,0.9,0.703,0.0,True,True,True,-1.5226372184171433,0.1174033775908493
Integerrimine,Lotononis laxa,Yellow lotononis,Fabaceae,"Aerial parts, leaf","South Africa, Namibia, Botswana",5281733,CC=C1CC(C(C(=O)OCC2=CCN3C2C(CC3)OC1=O)(C)O)C,C18H25NO5,Regulation of insulin secretion and lipid metabolism,"HSD11B1 (-9.1), PPARD (-9.3 kcal/mol)",10.3390/molecules24102002,2019,AFRO11_071,Pyrrolizidine Alkaloid,Molecules (MDPI),Dual-target compound with favorable ADMET properties. PDF,335.4,1.19,1.0,6.0,76.07,0.0,24.0,0.0,0.667,0.407,0.0,True,True,True,-0.6468496274201754,-0.7757245270128987
Lapachol,Kigelia africana,Sausage tree,Bignoniaceae,"Bark, fruit, root","Nigeria, Ghana, Kenya, South Africa, Tanzania",3884,CC(=CCC1=C(C2=CC=CC=C2C(=O)C1=O)O)C,C15H14O3,Regulation of glucose metabolism,AKR1B1 (-9.2 kcal/mol),10.3390/molecules24102002,2019,AFRO11_072,Naphthoquinone,Molecules (MDPI),Compound with experimental anti-diabetic evidence. PDF,242.27,3.08,1.0,3.0,54.37,2.0,18.0,1.0,0.2,0.64,0.0,True,True,False,-1.4616663118521378,-0.14407898987256212
Nauclefidine,Nauclea latifolia,"African peach, Pin cushion tree",Rubiaceae,"Root, stem bark, leaf","Nigeria, Cameroon, Ghana, Benin, DR Congo",None,,,Regulation of insulin secretion and glucose metabolism,"AKR1B1 (-10.1), HSD11B1 (-9.0), RBP4 (-10.0 kcal/mol)",10.3390/molecules24102002,2019,AFRO11_073,Indole Alkaloid,Molecules (MDPI),Novel potential multi-targeted anti-diabetic lead candidate. PDF,,,,,,,,,,,,,,,,
N-methylflindersine,Toddalia asiatica,Orange climber,Rutaceae,"Root bark, leaf","Kenya, Tanzania, Uganda, South Africa, Nigeria",72819,CC1(C=CC2=C(O1)C3=CC=CC=C3N(C2=O)C)C,C15H15NO2,Regulation of insulin secretion and glucose metabolism,"AKR1B1 (-9.2), RBP4 (-9.5 kcal/mol)",10.3390/molecules24102002,2019,AFRO11_074,Quinoline Alkaloid,Molecules (MDPI),Dual-target compound with favorable ADMET properties. PDF,241.29,2.72,0.0,2.0,31.23,0.0,18.0,2.0,0.267,0.71,0.0,True,True,False,-1.8720630151055593,-0.5319592098719951
Platyphylline,Senecio serratuloides,Two-color ragwort,Asteraceae,"Leaf, root, flower","South Africa, Eswatini",5281742,CC=C1CC(C(C(=O)OCC2CCN3C2C(CC3)OC1=O)(C)O)C,C18H27NO5,Regulation of insulin secretion and lipid metabolism,"HSD11B1 (-9.4), PPARD (-9.3 kcal/mol)",10.3390/molecules24102002,2019,AFRO11_075,Pyrrolizidine Alkaloid,Molecules (MDPI),Dual-target compound with favorable ADMET properties. PDF,337.42,1.27,1.0,6.0,76.07,0.0,24.0,0.0,0.778,0.53,0.0,True,True,True,-0.6513017115129144,-0.7537501266213875
Rhinocerotinoic acid,Elytropappus rhinocerotis,Renosterbos,Asteraceae,"Leaf, twig",South Africa,75411923,CC1=C(C2(CCCC(C2CC1=O)(C)C)C)CCC(=CC(=O)O)C,C20H30O3,Regulation of insulin secretion,"HSD11B1 (-9.2), RBP4 (-9.9 kcal/mol)",10.3390/molecules24102002,2019,AFRO11_076,Diterpenoid,Molecules (MDPI),Dual-target compound with favorable ADMET properties. PDF,318.46,4.92,1.0,2.0,54.37,4.0,23.0,0.0,0.7,0.749,0.0,True,True,True,-1.5231799130833743,0.7726880330932523
Senecionine,Senecio serratuloides,Two-color ragwort,Asteraceae,"Leaf, root","South Africa, Eswatini",5280906,CC=C1CC(C(C(=O)OCC2=CCN3C2C(CC3)OC1=O)(C)O)C,C18H25NO5,Regulation of insulin secretion and lipid metabolism,"HSD11B1 (-10.3), PPARD (-9.4 kcal/mol)",10.3390/molecules24102002,2019,AFRO11_077,Pyrrolizidine Alkaloid,Molecules (MDPI),High binding affinity hit for HSD11B1 (-10.3 kcal/mol). PDF,335.4,1.19,1.0,6.0,76.07,0.0,24.0,0.0,0.667,0.407,0.0,True,True,True,-0.6468496274201754,-0.7757245270128987
Valerenic acid,Valeriana capensis,Cape valerian,Valerianaceae,"Root, rhizome","South Africa, Lesotho, Malawi",6440940,CC1CCC(C2=C(CCC12)C)C=C(C)C(=O)O,C15H22O2,Regulation of glucose metabolism,AKR1B1 (-9.0 kcal/mol),10.3390/molecules24102002,2019,AFRO11_078,Sesquiterpenoid,Molecules (MDPI),Predicted active compound with favorable ADMET properties. PDF,234.34,3.79,1.0,1.0,37.3,2.0,17.0,0.0,0.667,0.583,0.0,True,True,False,-1.8617563067468632,0.029073044446966678
Vinburnine,Voacanga africana,Voacanga tree,Apocynaceae,"Bark, root, seed","Ghana, Nigeria, Ivory Coast, Cameroon",71203,CCC12CCCN3C1C4=C(CC3)C5=CC=CC=C5N4C(=O)C2,C19H22N2O,"Regulation of insulin secretion, glucose metabolism, and lipid metabolism","AKR1B1 (-9.6), HSD11B1 (-9.1), PPARD (-9.3), PPARG (-9.4), RBP4 (-10.7), RXRA (-9.3 kcal/mol)",10.3390/molecules24102002,2019,AFRO11_079,Indole Alkaloid,Molecules (MDPI),Novel multi-targeted lead active across 6 diabetes targets. PDF,294.4,3.77,0.0,2.0,25.24,1.0,22.0,2.0,0.526,0.8,0.0,True,True,True,-1.8673682542044263,-0.01555214159758027
Voaphylline,Voacanga africana,Voacanga tree,Apocynaceae,"Bark, root, leaf","Ghana, Nigeria, Ivory Coast, Cameroon",10469868,CCC12CCC3=C(CCN(C1)CC4C2O4)C5=CC=CC=C5N3,C19H24N2O,"Regulation of insulin secretion, glucose metabolism, and lipid metabolism","AMY2A (-9.0), DPP4 (-9.6), GCK (-9.1), HSD11B1 (-9.3), PPARD (-9.1), PPARG (-9.8), RBP4 (-9.2 kcal/mol)",10.3390/molecules24102002,2019,AFRO11_080,Indole Alkaloid,Molecules (MDPI),Novel multi-targeted lead active across 7 diabetes targets. PDF,296.41,3.14,1.0,2.0,31.56,1.0,22.0,2.0,0.579,0.82,0.0,True,True,True,-1.5973994118823196,-0.17509933317371074
Withasomnine,Voacanga africana,Voacanga tree,Apocynaceae,"Root, bark, leaf","Ghana, Nigeria, Ivory Coast, Cameroon",442877,C1CC2=C(C=NN2C1)C3=CC=CC=C3,C12H12N2,Regulation of insulin secretion,FFAR1 (-9.1 kcal/mol),10.3390/molecules24102002,2019,AFRO11_081,Pyrazole Alkaloid,Molecules (MDPI),Potential FFAR1 agonist with favorable ADMET properties. PDF,184.24,2.5,0.0,1.0,17.82,1.0,14.0,2.0,0.25,0.665,0.0,True,True,False,-2.1336347266990354,-0.5021221588734818
Aspalathin,Aspalathus linearis,Rooibos,Fabaceae,Leaf,South Africa,11282394,C1=CC(=C(C=C1CCC(=O)C2=C(C=C(C(=C2O)C3C(C(C(C(O3)CO)O)O)O)O)O)O)O,C21H24O11,Reported antidiabetic activity,Multiple diabetes targets,10.3390/molecules24102002,2019,AFRO11_082,Flavonoid,Literature + DIA-DB study,Identified as bioactive antidiabetic constituent,452.41,-0.45,9.0,11.0,208.37,6.0,32.0,2.0,0.381,0.202,2.0,False,False,False,2.5234728432211697,-0.14884677450845077
Isoorientin,Aspalathus linearis,Rooibos,Fabaceae,Leaf,South Africa,114776,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)C4C(C(C(C(O4)CO)O)O)O)O)O)O,C21H20O11,Reported antidiabetic activity,Multiple diabetes targets,10.3390/molecules24102002,2019,AFRO11_083,Flavonoid,Literature + DIA-DB study,Reported in Rooibos antidiabetic studies,448.38,-0.2,8.0,11.0,201.28,3.0,32.0,3.0,0.286,0.247,2.0,False,False,True,2.193323107617343,-0.5964741427647596
Orientin,Aspalathus linearis,Rooibos,Fabaceae,Leaf,South Africa,5281675,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O)O,C21H20O11,Reported antidiabetic activity,Multiple diabetes targets,10.3390/molecules24102002,2019,AFRO11_084,Flavonoid,Literature + DIA-DB study,Identified as active constituent,448.38,-0.2,8.0,11.0,201.28,3.0,32.0,3.0,0.286,0.247,2.0,False,False,True,2.193323107617343,-0.5964741427647596
Quercetin,Aspalathus linearis,Rooibos,Fabaceae,Leaf,South Africa,5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H10O7,Reported antidiabetic activity,Multiple diabetes targets,10.3390/molecules24102002,2019,AFRO11_085,Flavonol,Literature + DIA-DB study,Widely reported antidiabetic flavonoid,302.24,1.99,5.0,7.0,131.36,1.0,22.0,3.0,0.0,0.434,0.0,True,True,True,0.24184569522830912,-0.5992229470082536
Cryptolepine,Cryptolepis sanguinolenta,Ghana quinine,Apocynaceae,Root,Ghana,82143,CN1C2=CC=CC=C2C=C3C1=C4C=CC=CC4=N3,C16H12N2,Reported antidiabetic activity,Multiple diabetes targets,10.3390/molecules24102002,2019,AFRO11_086,Indoloquinoline Alkaloid,Literature + DIA-DB study,Identified as active constituent,232.29,3.83,0.0,1.0,17.82,0.0,18.0,2.0,0.062,0.45,0.0,True,True,False,-2.2033240320654603,-0.2814587265828739
Chlorogenic Acid,Vernonia amygdalina,Bitter Leaf,Asteraceae,Leaf,Nigeria,1794427,C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C16H18O9,Reported antidiabetic activity,Multiple diabetes targets,10.3390/molecules24102002,2019,AFRO11_087,Phenolic Acid,Literature + DIA-DB study,Active constituent of V. amygdalina,354.31,-0.65,6.0,8.0,164.75,4.0,25.0,1.0,0.375,0.234,1.0,True,False,False,1.2294831183922204,-0.6239951907855766
Vanillin,Momordica balsamina Linn,Momordica balsamina Linn,Cucurbitaceae,Leaf,South Africa,1183,COC1=C(C=CC(=C1)C=O)O,C8H8O3,Antidiabetic / Enzyme inhibition,α-Glucosidase,10.3390/cimb48050503,2026,AFRO11_088,Phenolic aldehyde,GC-MS,Identified in DCM leaf extract,152.15,1.21,1.0,3.0,46.53,2.0,11.0,1.0,0.125,0.648,0.0,True,True,False,-1.5114383527066104,-0.7356439323927817
